Equipment,Timestamp,Source_File,Sample_Count,Duration_ms,Acceleration_RMS_G,Peak_Acceleration_G,Peak_to_Peak_G,Kurtosis,Crest_Factor,Velocity_RMS,Velocity_Peak_mm_s,Sample_Rate_Hz,Dominant_Frequency_Hz,Dominant_Frequency_Amplitude,Spectral_Centroid_Hz,Spectral_Entropy,ISO_Status,Baseline_Count,RMS_Baseline_Mean,RMS_Baseline_Std,RMS_Alert_Threshold,RMS_Z_Score,Stat_Alert,Anomaly_Score,Isolation_Anomaly,Alert_Reason,Health_Flag
Cooling Pump for OAH-02,2024-06-28 08:19:52,A_Cooling Pump OAH 02_M1H_1480_Jun24.txt,4096,1599.6,0.5387526098415805,1.1790130546875,2.349,1.8582533591640706,2.1884127021383475,2.7185229588965663,7.268052558790318,2500.000000000275,1114.5019531251226,0.3585592398054564,1102.8202237503995,0.07577687783479846,Zone B (Yellow) - Unrestricted operation,2,2.723746050453719,0.005223091557152948,2.739415325125178,0.0,False,0.0,False,baseline,Normal
Cooling Pump for OAH-02,2024-09-04 09:49:15,A_Cooling Pump OAH 02_M1H_1480_Sep24.txt,4096,1599.6,0.649916010399871,1.297979242919922,2.498,1.7465441686254515,1.997149204127653,2.728969142010872,7.005941615577697,2500.000000000275,1115.1123046876228,0.3093524326981966,1102.9415712467865,0.27024578777174696,Zone B (Yellow) - Unrestricted operation,2,2.723746050453719,0.005223091557152948,2.739415325125178,0.0,False,0.0,False,baseline,Normal
Cooling Pump for OAH-02,2024-10-16 10:53:12,A_Cooling Pump OAH 02_M1H_1480_Oct24.txt,4096,1599.6,0.5923696264366216,1.311011962890625,2.453,1.8455546790101554,2.213165402785708,2.702168245204224,6.411431771045806,2500.000000000275,1110.8398437501223,0.3901609881266787,1101.1108730484018,0.0936321026648121,Zone B (Yellow) - Unrestricted operation,2,2.723746050453719,0.005223091557152948,2.739415325125178,-4.131232434542484,False,0.0,False,baseline,Normal
Jockey Pump,2024-06-28 09:15:08,A_Jockey pump_M1A_2925__Jun24.txt,2048,799.6,0.5846027461656894,1.4969961870117188,2.741,2.1595760568268365,2.560706730904471,7.053848088539097,18.60093929282283,2500.000000000275,96.43554687501062,0.2126310643172464,180.83806451898403,0.36693152751244335,Zone C (Orange) - Restricted operation,2,6.188825755331227,0.8650223332078699,8.783892754954838,0.0,False,0.0,False,ISO severity,Watchlist
Jockey Pump,2024-09-04 10:53:11,A_Jockey pump_M1A_2925__Sep24.txt,2048,799.6,0.4691085909246442,1.5310238769531248,3.025,3.1992111881125562,3.263687569514289,5.323803422123357,13.266147667765585,2500.000000000275,95.21484375001047,0.1278498041430965,265.3109278585167,0.5553570020848309,Zone C (Orange) - Restricted operation,2,6.188825755331227,0.8650223332078699,8.783892754954838,0.0,False,0.0,False,ISO severity,Watchlist
Jockey Pump,2024-10-16 11:46:26,A_Jockey pump_M1A_2925__Oct24.txt,2048,799.6,0.4833576052388874,1.698998095703125,2.923,3.081578163133679,3.5149919589316028,6.694083883316956,21.499441129841692,2500.000000000275,144.04296875001586,0.17590303177772879,246.40753612158906,0.4916486113003596,Zone C (Orange) - Restricted operation,2,6.188825755331227,0.8650223332078699,8.783892754954838,0.5840983620758283,False,0.0,False,ISO severity,Watchlist
Motor Compressor OAH-06_A,2024-06-28 08:56:47,A_CH-06 A_NAA_1490__Jun24.txt,4096,533.2,0.26355727289512354,0.9660024514160156,1.823,2.954635364806408,3.6652468012158166,2.889409313080703,6.717737603947111,9999.99999999555,3110.351562498616,0.06716484484474601,2782.5948222153515,0.6573986467381774,Zone B (Yellow) - Unrestricted operation,2,2.3269665254340035,0.5624427876466994,4.014294888374102,0.0,False,0.0,False,baseline,Normal
Motor Compressor OAH-06_A,2024-09-04 10:26:52,A_CH-06 A_NAA_1490__Sep24.txt,4096,533.2,0.2342881270369801,0.7859849013671876,1.512,2.852774728010901,3.3547790547795344,1.764523737787304,4.454423648436343,9999.99999999555,3117.675781248613,0.0466539688382519,2526.274640003059,0.6704441616664907,Zone A (Green) - Newly commissioned,2,2.3269665254340035,0.5624427876466994,4.014294888374102,0.0,False,0.0,False,baseline,Normal
Motor Compressor OAH-06_A,2024-10-16 12:12:21,A_CH-06 A_NAA_1490__Oct24.txt,4096,533.2,0.2532643195189205,1.08602421875,2.002,3.2145403709725375,4.28810588405394,1.6991709020682606,4.80820079395958,9999.99999999555,3117.675781248613,0.06423063554157851,2644.9791463501942,0.6444880695604877,Zone A (Green) - Newly commissioned,2,2.3269665254340035,0.5624427876466994,4.014294888374102,-1.11619463731144,False,0.0007222943055835707,True,isolation-forest,Watchlist
